County,Beale,Level 0,Level 1,Level 2,Level 3,Level 4-5,Level 6-7-8,Level 9-10,Career Lattice,QRIS,Center programs,Home programs,Classroom trainings,Classroom attendance,Online atttendane,Average wage,Average teacher wage,Average assistant wage
Beaverhead,7,0,13,8,1,1,3,1,27,2,1,12,2,16,13,9.83,10.1,8.81
Big Horn,6,0,9,2,0,0,2,0,13,1,2,2,1,10,9,10.04,10.27,9
Blaine,9,1,7,7,2,0,1,0,18,2,2,3,0,1,8,9.35,9.55,9.08
Broadwater,9,0,4,2,0,1,2,0,9,0,0,4,0,13,6,NA,NA,NA
Carbon,3,2,9,7,1,2,1,1,23,2,1,4,0,4,17,11.74,12.43,9.9
Carter,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA
Cascade,3,20,116,107,53,27,13,4,340,20,42,39,20,169,205,11.65,11.68,9.91
Chouteau,8,0,1,2,0,0,1,1,5,1,0,3,0,3,1,NA,NA,NA
Custer,7,0,12,5,2,1,1,0,21,0,0,14,1,6,6,NA,NA,NA
Daniels,9,0,3,1,0,1,0,0,5,1,0,2,0,3,2,NA,NA,NA
Dawson,7,5,8,4,3,5,2,0,27,2,2,7,4,12,12,10.18,10.82,9.39
Deer Lodge,7,2,10,10,4,1,1,1,29,3,1,7,0,12,9,12.87,11.64,9.29
Fallon,9,0,1,0,0,0,0,0,1,0,0,0,0,1,1,NA,NA,NA
Fergus,7,8,23,11,12,2,5,0,61,4,3,5,2,14,40,10.67,10.84,9.32
Flathead,5,3,119,82,10,35,27,3,279,20,19,59,11,116,101,12.25,12.51,10.84
Gallatin,5,17,248,121,29,37,59,16,527,18,40,70,42,293,260,13.2,13.93,11.22
Garfield,9,0,2,0,0,0,0,0,2,0,0,1,0,0,0,NA,NA,NA
Glacier,7,2,6,2,4,4,3,1,22,0,2,4,0,5,1,13.42,11.78,13.55
Golden Valley,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Granite,8,0,3,0,0,0,1,0,4,0,0,2,0,2,5,NA,NA,NA
Hill,7,1,33,23,13,11,6,0,87,9,6,22,9,32,34,13.47,12.93,12.03
Jefferson,9,1,9,7,0,1,4,0,22,3,5,1,3,14,17,13.59,12.13,10.3
Judith Basin,8,0,2,0,0,0,0,0,2,0,0,1,0,0,1,NA,NA,NA
Lake,6,8,34,25,2,7,7,2,85,5,10,22,1,26,33,12.93,12.3,9.58
Lewis and Clark,5,22,125,63,29,23,20,7,289,30,46,40,36,204,166,12.86,12.82,10.27
Liberty,9,0,3,0,0,0,0,0,3,0,0,2,0,0,0,NA,NA,NA
Lincoln,7,0,17,8,4,5,4,1,39,2,3,13,0,5,11,13.19,12.71,10.67
Madison,9,3,7,3,3,1,1,0,18,3,1,5,0,6,9,9.82,9.71,9
McCone,9,0,1,2,1,1,0,0,5,1,0,4,0,1,1,NA,NA,NA
Meagher,9,1,0,2,0,0,0,0,3,0,0,1,0,1,0,NA,NA,NA
Mineral,8,0,4,2,1,0,0,0,7,1,0,3,0,2,4,NA,NA,NA
Missoula,3,12,223,136,26,40,35,11,483,30,54,90,32,215,269,12.34,12.11,10.55
Musselshell,8,1,3,3,1,1,2,0,11,0,0,3,0,7,3,NA,NA,NA
Park,7,0,16,14,1,4,6,0,41,2,5,8,3,14,21,13.48,14.44,11.83
Petroleum,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Phillips,9,0,2,2,0,3,0,0,7,0,1,2,0,3,1,NA,NA,NA
Pondera,7,0,9,4,2,0,3,0,18,0,0,5,0,5,5,NA,NA,NA
Powder River,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA
Powell,7,2,5,3,1,2,0,0,13,1,0,7,0,3,3,9.65,8.97,9.5
Prairie,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA
Ravalli,6,10,51,34,17,10,11,2,135,3,9,28,5,48,68,11.2,10.78,9.59
Richland,7,1,10,10,1,1,1,0,24,6,2,10,1,10,11,11.75,12.5,11.09
Roosevelt,7,0,5,2,0,0,0,0,7,0,0,3,0,5,3,NA,NA,NA
Rosebud,9,3,14,4,0,0,0,0,21,1,4,3,0,3,12,11.61,10.86,10.52
Sanders,8,1,8,0,0,1,1,0,11,0,0,4,0,5,4,NA,NA,NA
Sheridan,9,1,5,3,0,1,0,0,10,0,0,3,0,3,3,9.72,9.58,10.67
Silver Bow,5,16,42,55,13,15,13,2,156,17,14,43,18,95,77,10.34,10.06,9.44
Stillwater,8,3,11,6,1,1,0,0,22,1,1,2,0,12,16,9.14,9.42,8.66
Sweet Grass,9,0,4,2,0,0,0,0,6,1,0,2,0,5,6,NA,NA,NA
Teton,8,0,1,5,0,0,1,0,7,1,0,6,0,2,3,NA,NA,NA
Toole,7,0,1,1,0,0,0,0,2,0,1,0,0,2,1,NA,NA,NA
Treasure,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Valley,7,2,6,6,0,1,1,0,16,0,2,7,3,9,6,11.5,10.75,10
Wheatland,9,0,0,2,0,0,1,0,3,1,0,1,0,2,0,NA,NA,NA
Wibaux,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Yellowstone,3,59,307,215,33,40,47,10,711,31,43,163,44,343,268,12.01,11.58,10.17
